,Reviews,KeyWords
0,good app,['good']
1,good app,['good']
2,good app make easy travel,"['good', 'make', 'easy', 'travel']"
3,great app,['great']
4,the app infrastructure great ride however food component somewhat behind comparison eats i feel due lack minimalism opinion user,"['the', 'infrastructure', 'great', 'ride', 'however', 'food', 'component', 'somewhat', 'behind', 'comparison', 'eats', 'feel', 'due', 'lack', 'minimalism', 'opinion', 'user']"
5,always set cheap app,"['always', 'set', 'cheap']"
6,charge response faulty app still cash choosing business paying option,"['charge', 'response', 'faulty', 'still', 'cash', 'choosing', 'business', 'paying', 'option']"
7,top app,['top']
